,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Stephen Curry,GSW,36,43,23,20,142.9,189,59,119,49.6,32,70,45.7,39,41,95.1,0,22,22,16,9,3,0,7,239,4,0,21
2,DeMar DeRozan,CHI,34,40,24,16,191.8,182,55,113,48.7,7,15,46.7,65,74,87.8,3,24,27,17,13,6,3,11,254,5,0,94
3,Damian Lillard,MIL,33,37,23,14,137.8,139,35,85,41.2,13,44,29.5,56,59,94.9,2,10,12,26,7,4,1,11,200,10,0,76
4,Nikola Jokic,DEN,29,36,23,13,121.7,129,42,76,55.3,9,23,39.1,36,44,81.8,6,38,44,20,13,3,1,15,211,33,11,85
5,De'Aaron Fox,SAC,26,35,17,18,139.5,122,47,107,43.9,7,32,21.9,21,31,67.7,3,9,12,18,13,8,1,13,177,3,0,-2
6,Mikal Bridges,BKN,27,32,13,19,147.2,114,39,79,49.4,6,19,31.6,30,40,75,5,11,16,10,3,3,1,10,157,3,0,-28
7,Shai Gilgeous-Alexander,OKC,25,34,23,11,107.5,112,36,62,58.1,5,14,35.7,35,39,89.7,4,15,19,19,6,8,2,5,187,5,0,68
8,Trae Young,ATL,25,31,14,17,104.2,107,24,59,40.7,7,26,26.9,52,61,85.2,2,5,7,15,7,5,3,10,155,21,0,-55
9,Dejounte Murray,ATL,27,42,19,23,159.9,106,40,103,38.8,8,28,28.6,18,28,64.3,8,21,29,11,8,4,1,14,164,8,1,-58
9,Jalen Brunson,NYK,27,30,15,15,101.4,106,36,85,42.4,6,27,22.2,28,37,75.7,2,9,11,20,6,2,0,6,149,6,0,59
11,Giannis Antetokounmpo,MIL,29,36,21,15,131.3,104,31,58,53.4,3,6,50,39,53,73.6,16,26,42,21,11,4,7,16,208,30,7,55
12,Coby White,CHI,24,41,24,17,193.2,99,34,73,46.6,10,34,29.4,21,25,84,6,16,22,29,10,3,2,13,174,3,0,102
12,Kevin Durant,PHX,35,39,18,21,138.3,99,30,84,35.7,10,33,30.3,29,34,85.3,3,27,30,11,7,4,7,11,178,9,0,-12
14,Anthony Edwards,MIN,22,32,18,14,126.6,98,34,79,43,7,33,21.2,23,31,74.2,1,16,17,17,12,4,2,8,150,6,0,-44
14,LeBron James,LAL,39,28,19,9,115.7,98,36,68,52.9,7,27,25.9,19,26,73.1,3,32,35,18,14,4,5,6,180,8,2,25
14,Malik Monk,SAC,26,28,16,12,122.1,98,31,60,51.7,10,28,35.7,26,35,74.3,1,17,18,16,7,3,0,8,146,2,0,24
14,Paolo Banchero,ORL,21,35,21,14,132.7,98,31,82,37.8,8,32,25,28,39,71.8,6,13,19,8,15,3,3,9,136,7,1,15
18,Alperen Sengun,HOU,21,29,13,16,104.6,90,32,63,50.8,0,1,0,26,41,63.4,12,12,24,8,8,4,1,26,138,13,1,-7
18,Kawhi Leonard,LAC,33,32,18,14,100.1,90,30,66,45.5,4,19,21.1,26,28,92.9,4,15,19,7,8,6,3,8,142,3,0,35
20,Tyrese Haliburton,IND,24,28,13,15,96.2,89,30,57,52.6,12,30,40,17,18,94.4,2,9,11,27,4,2,0,6,145,22,1,3
21,Dennis Schršder,BKN,30,40,17,23,141.6,87,29,66,43.9,7,22,31.8,22,24,91.7,6,18,24,20,6,2,2,14,152,4,0,-15
22,Tyrese Maxey,PHI,23,28,16,12,107.1,86,25,71,35.2,7,23,30.4,29,33,87.9,1,10,11,21,5,5,1,13,144,3,0,37
23,Anthony Davis,LAL,31,30,23,7,138,85,24,46,52.2,1,9,11.1,36,42,85.7,11,30,41,6,6,3,11,16,179,29,1,32
24,Victor Wembanyama,SAS,20,35,12,23,125,84,25,65,38.5,5,27,18.5,29,38,76.3,12,32,44,11,15,5,17,12,204,24,0,-58
25,Jayson Tatum,BOS,26,29,18,11,110.1,83,22,61,36.1,6,18,33.3,33,40,82.5,5,20,25,14,7,2,4,12,145,16,0,53
25,Kyrie Irving,DAL,32,20,16,4,76,83,27,45,60,8,19,42.1,21,22,95.5,1,7,8,7,3,1,1,5,106,3,0,75
27,Jalen Williams,OKC,23,32,20,12,97.3,82,28,41,68.3,7,12,58.3,19,23,82.6,2,12,14,9,9,4,1,11,118,1,0,38
28,Terry Rozier,MIA,30,29,12,17,92,81,22,50,44,11,27,40.7,26,28,92.9,1,8,9,12,4,0,0,14,106,4,0,-42
29,Anfernee Simons,POR,25,18,8,10,76,80,26,52,50,8,20,40,20,21,95.2,4,10,14,8,7,1,0,7,105,2,0,27
29,Donovan Mitchell,CLE,27,27,15,12,87.1,80,23,55,41.8,10,23,43.5,24,27,88.9,3,8,11,7,8,3,0,8,105,1,0,19
31,Devin Booker,PHX,27,32,18,14,105.8,78,24,52,46.2,4,22,18.2,26,29,89.7,5,12,17,15,4,3,4,10,138,8,0,21
31,Pascal Siakam,IND,30,44,15,29,148,78,32,55,58.2,6,9,66.7,8,15,53.3,10,19,29,10,12,2,1,30,125,7,0,-53
33,Jaren Jackson Jr.,MEM,24,30,13,17,95.3,76,26,59,44.1,1,8,12.5,23,25,92,10,15,25,4,8,0,8,8,128,5,0,0
33,Paul George,LAC,34,32,20,12,98.3,76,19,39,48.7,8,20,40,30,32,93.8,3,12,15,6,5,0,2,10,104,3,0,49
35,Austin Reaves,LAL,26,32,23,9,125.6,74,18,41,43.9,7,22,31.8,31,35,88.6,2,14,16,15,2,3,2,9,129,5,1,37
36,Scottie Barnes,TOR,22,34,14,20,113.6,73,26,55,47.3,3,10,30,18,25,72,6,18,24,16,9,3,4,11,138,17,3,-14
37,Nikola Vucevic,CHI,33,42,25,17,191.6,72,27,62,43.5,8,25,32,10,12,83.3,18,30,48,16,2,4,3,22,173,29,0,98
38,Luka Doncic,DAL,25,28,20,8,95.5,70,21,46,45.7,9,22,40.9,19,25,76,0,20,20,24,6,4,1,6,139,23,9,64
39,Cade Cunningham,DET,22,28,6,22,92.8,66,21,50,42,5,15,33.3,19,19,100,2,8,10,9,7,0,1,8,88,6,0,-82
40,Chet Holmgren,OKC,22,35,23,12,113.6,64,21,40,52.5,7,17,41.2,15,21,71.4,3,23,26,7,5,1,11,11,137,12,0,51
40,Fred VanVleet,HOU,30,34,15,19,129.4,64,19,55,34.5,9,34,26.5,17,20,85,2,11,13,25,2,7,3,11,145,13,0,-35
40,Jerami Grant,POR,30,23,12,11,92.1,64,22,44,50,7,15,46.7,13,17,76.5,1,8,9,6,13,0,2,10,77,0,0,9
43,Buddy Hield,PHI,31,29,15,14,72.1,63,23,37,62.2,13,25,52,4,5,80,5,8,13,3,3,2,3,7,95,1,0,19
44,Jimmy Butler,MIA,34,31,15,16,114.3,61,18,52,34.6,2,14,14.3,23,31,74.2,5,11,16,9,4,6,1,10,111,2,0,-26
45,Jamal Murray,DEN,27,25,17,8,77.2,60,20,35,57.1,4,10,40,16,19,84.2,2,9,11,18,4,2,0,3,102,7,0,78
45,Karl-Anthony Towns,MIN,28,27,15,12,97.9,60,19,49,38.8,7,24,29.2,15,17,88.2,5,17,22,11,4,0,2,13,105,10,0,-13
45,Kyle Kuzma,WAS,28,30,7,23,92.7,60,24,64,37.5,5,21,23.8,7,9,77.8,8,11,19,3,7,1,4,16,95,5,0,-111
48,Klay Thompson,GSW,34,40,21,19,130.6,57,17,57,29.8,11,41,26.8,12,12,100,1,9,10,5,1,2,4,12,94,0,0,31
49,Jaylen Brown,BOS,27,29,17,12,112,56,20,40,50,3,15,20,13,19,68.4,5,18,23,7,7,2,3,13,102,4,0,47
49,Jordan Clarkson,UTA,32,19,8,11,79.2,56,19,47,40.4,9,23,39.1,9,11,81.8,8,9,17,11,2,1,1,5,97,4,0,16